date,time,home_team_name,away_team_name,home_team_score,away_team_score,championship_round_id,stadium_name
2023-04-15,16:00,Palmeiras,Cuiabá,2,1,1,Allianz Parque
2023-04-15,16:00,América-MG,Fluminense,0,3,1,Independência
2023-04-15,18:30,Botafogo,São Paulo,2,1,1,Nilton Santos (Engenhão)
2023-04-15,18:30,Bragantino,Bahia,2,1,1,Nabi Abi Chedid
2023-04-15,18:30,Athletico-PR,Goiás,2,0,1,Ligga Arena
2023-04-15,18:30,Fortaleza,Internacional,1,1,1,Castelão (CE)
2023-04-15,21:00,Atlético-MG,Vasco,1,2,1,Mineirão
2023-04-16,16:00,Flamengo,Coritiba,3,0,1,Maracanã
2023-04-16,16:00,Corinthians,Cruzeiro,2,1,1,Neo Química Arena
2023-04-16,18:30,Grêmio,Santos,1,0,1,Alfredo Jaconi
2023-04-22,16:00,Fluminense,Athletico-PR,2,0,2,Maracanã
2023-04-22,18:30,São Paulo,América-MG,3,0,2,Morumbi
2023-04-22,18:30,Cuiabá,Bragantino,1,1,2,Arena Pantanal
2023-04-22,21:00,Cruzeiro,Grêmio,1,0,2,Independência
2023-04-23,11:00,Internacional,Flamengo,2,1,2,Beira-Rio
2023-04-23,16:00,Vasco,Palmeiras,2,2,2,Maracanã
2023-04-23,16:00,Santos,Atlético-MG,0,0,2,Vila Belmiro
2023-04-23,18:30,Coritiba,Fortaleza,0,3,2,Couto Pereira
2023-04-23,19:00,Goiás,Corinthians,3,1,2,Hailé Pinheiro (Serrinha)
2023-04-24,20:00,Bahia,Botafogo,1,2,2,Itaipava Arena Fonte Nova
2023-04-29,16:30,Coritiba,São Paulo,1,1,3,Couto Pereira
2023-04-29,16:30,Fortaleza,Fluminense,4,2,3,Castelão (CE)
2023-04-29,18:30,Palmeiras,Corinthians,2,1,3,Allianz Parque
2023-04-29,18:30,Santos,América-MG,3,2,3,Vila Belmiro
2023-04-29,18:30,Bragantino,Cruzeiro,0,3,3,Nabi Abi Chedid
2023-04-29,21:00,Atlético-MG,Athletico-PR,2,1,3,Independência
2023-04-30,16:00,Flamengo,Botafogo,2,3,3,Maracanã
2023-04-30,18:30,Internacional,Goiás,1,0,3,Beira-Rio
2023-04-30,18:30,Cuiabá,Grêmio,1,2,3,Arena Pantanal
2023-05-01,20:00,Vasco,Bahia,0,1,3,São Januário
2023-05-06,16:00,Cruzeiro,Santos,2,1,4,Independência
2023-05-06,21:00,Fluminense,Vasco,1,1,4,Maracanã
2023-05-07,11:00,América-MG,Cuiabá,1,2,4,Independência
2023-05-07,16:00,São Paulo,Internacional,2,0,4,Morumbi
2023-05-07,16:00,Athletico-PR,Flamengo,2,1,4,Ligga Arena
2023-05-07,16:00,Bahia,Coritiba,3,1,4,Itaipava Arena Fonte Nova
2023-05-07,18:30,Botafogo,Atlético-MG,2,0,4,Nilton Santos (Engenhão)
2023-05-07,18:30,Goiás,Palmeiras,0,5,4,Hailé Pinheiro (Serrinha)
2023-05-07,18:30,Grêmio,Bragantino,3,3,4,Arena do Grêmio
2023-05-08,20:00,Corinthians,Fortaleza,1,1,4,Neo Química Arena
2023-05-10,19:00,Santos,Bahia,3,0,5,Vila Belmiro
2023-05-10,19:00,Bragantino,América-MG,2,2,5,Nabi Abi Chedid
2023-05-10,19:00,Internacional,Athletico-PR,0,2,5,Beira-Rio
2023-05-10,20:00,Flamengo,Goiás,2,0,5,Maracanã
2023-05-10,20:00,Cuiabá,Atlético-MG,0,4,5,Arena Pantanal
2023-05-10,21:30,Palmeiras,Grêmio,4,1,5,Allianz Parque
2023-05-10,21:30,Cruzeiro,Fluminense,0,2,5,Mineirão
2023-05-11,19:00,Coritiba,Vasco,1,1,5,Couto Pereira
2023-05-11,19:30,Botafogo,Corinthians,3,0,5,Nilton Santos (Engenhão)
2023-05-11,20:00,Fortaleza,São Paulo,0,0,5,Castelão (CE)
2023-05-13,16:00,Bahia,Flamengo,2,3,6,Itaipava Arena Fonte Nova
2023-05-13,18:30,Fluminense,Cuiabá,2,0,6,Maracanã
2023-05-13,18:30,Palmeiras,Bragantino,1,1,6,Allianz Parque
2023-05-13,21:00,Atlético-MG,Internacional,2,0,6,Mineirão
2023-05-14,16:00,Vasco,Santos,0,1,6,São Januário
2023-05-14,16:00,Corinthians,São Paulo,1,1,6,Neo Química Arena
2023-05-14,16:00,Grêmio,Fortaleza,0,0,6,Arena do Grêmio
2023-05-14,18:30,Goiás,Botafogo,2,1,6,Hailé Pinheiro (Serrinha)
2023-05-14,18:30,Athletico-PR,Coritiba,3,2,6,Ligga Arena
2023-05-14,18:30,América-MG,Cruzeiro,0,4,6,Independência
2023-05-20,16:00,Bahia,Goiás,1,1,7,Itaipava Arena Fonte Nova
2023-05-20,18:30,Botafogo,Fluminense,1,0,7,Nilton Santos (Engenhão)
2023-05-20,18:30,São Paulo,Vasco,4,2,7,Morumbi
2023-05-20,18:30,Bragantino,Athletico-PR,2,0,7,Nabi Abi Chedid
2023-05-20,18:30,Coritiba,Atlético-MG,1,2,7,Couto Pereira
2023-05-20,18:30,América-MG,Fortaleza,2,1,7,Independência
2023-05-20,21:00,Santos,Palmeiras,0,0,7,Vila Belmiro
2023-05-21,16:00,Flamengo,Corinthians,1,0,7,Maracanã
2023-05-21,18:30,Grêmio,Internacional,3,1,7,Arena do Grêmio
2023-05-22,20:00,Cruzeiro,Cuiabá,0,1,7,Arena do Jacaré
