Team,Images,Rodada 1,Rodada 2,Rodada 3,Rodada 4,Rodada 5,Rodada 6,Rodada 7,Rodada 8,Rodada 9,Rodada 10,Rodada 11,Rodada 12,Rodada 13,Rodada 14,Rodada 15,Rodada 16,Rodada 17,Rodada 18,Rodada 19,Rodada 20,Rodada 21,Rodada 22,Rodada 23,Rodada 24,Rodada 25,Rodada 26,Rodada 27,Rodada 28,Rodada 29,Rodada 30,Rodada 31,Rodada 32,Rodada 33
Palmeiras,https://s.sde.globo.com/media/organizations/2019/07/06/Palmeiras.svg,3,4,7,10,13,14,15,16,19,22,22,22,23,24,25,28,31,31,34,37,40,41,44,44,44,44,44,47,50,53,56,59,59
Cuiabá,https://s.sde.globo.com/media/organizations/2018/12/26/Cuiaba_EC.svg,0,1,1,4,4,4,7,8,11,12,12,12,15,16,19,22,25,28,28,28,28,28,29,29,32,33,36,37,37,40,40,41,44
América-MG,https://s.sde.globo.com/media/organizations/2019/02/28/America-MG-VERDE-fev2019-01.svg,0,0,0,0,1,1,4,4,7,8,8,8,9,9,9,10,10,10,10,10,13,16,17,17,18,18,18,19,19,19,20,21,21
Fluminense,https://s.sde.globo.com/media/organizations/2018/03/11/fluminense.svg,3,6,6,7,10,13,13,13,16,17,18,21,21,24,25,25,28,31,31,34,35,38,38,41,41,41,42,42,45,45,45,45,46
Botafogo,https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-svg.svg,3,6,9,12,15,15,18,21,21,24,27,30,33,36,39,40,43,44,47,48,51,51,51,51,52,55,58,59,59,59,59,59,59
São Paulo,https://s.sde.globo.com/media/organizations/2018/03/11/sao-paulo.svg,0,3,4,7,8,9,12,15,15,15,18,18,21,22,25,25,26,26,27,28,28,31,31,31,34,35,35,38,38,39,42,42,45
Bragantino,https://s.sde.globo.com/media/organizations/2021/06/28/bragantino.svg,3,4,4,5,6,7,10,13,13,14,17,20,23,24,24,25,28,31,32,32,35,36,39,42,45,46,49,52,52,52,55,58,58
Bahia,https://s.sde.globo.com/media/organizations/2018/03/11/bahia.svg,0,0,3,6,6,6,7,7,8,9,12,12,12,13,13,14,15,18,18,21,21,22,25,25,25,28,31,34,34,34,37,37,37
Athletico-PR,https://s.sde.globo.com/media/organizations/2019/09/09/Athletico-PR.svg,3,3,3,6,9,12,12,12,15,16,16,19,20,20,23,26,27,28,31,32,33,34,37,40,40,41,44,45,48,49,49,49,50
Goiás,https://s.sde.globo.com/media/organizations/2021/03/01/GOIAS-2021.svg,0,3,3,3,3,6,7,7,7,8,11,11,11,11,12,15,16,19,22,23,24,25,25,26,27,27,30,31,31,32,32,35,35
Fortaleza,https://s.sde.globo.com/media/organizations/2021/09/19/Fortaleza_2021_1.svg,1,4,7,8,9,10,10,13,14,14,17,20,20,23,23,23,23,23,26,29,32,32,35,38,39,42,42,42,42,42,42,42,43
Internacional,https://s.sde.globo.com/media/organizations/2018/03/11/internacional.svg,1,4,7,7,7,7,7,10,11,14,17,20,21,21,22,23,23,24,24,24,25,26,29,29,29,32,32,35,38,38,39,42,43
Atlético-MG,https://s.sde.globo.com/media/organizations/2018/03/10/atletico-mg.svg,0,1,4,4,7,10,13,14,17,18,19,19,20,20,21,21,21,24,27,27,30,31,34,37,40,40,43,43,46,49,52,53,54
Vasco,https://s.sde.globo.com/media/organizations/2021/09/04/vasco_SVG.svg,3,4,4,5,6,6,6,6,6,6,6,9,9,9,12,12,12,15,16,19,19,20,23,26,26,27,30,30,30,31,34,37,37
Flamengo,https://s.sde.globo.com/media/organizations/2018/04/10/Flamengo-2018.svg,3,3,3,3,6,9,12,13,16,19,19,22,25,26,27,28,31,31,32,35,36,39,39,40,43,44,47,50,50,50,50,53,56
Coritiba,https://s.sde.globo.com/media/organizations/2018/03/11/coritiba.svg,0,0,1,1,2,2,2,3,3,4,4,4,7,10,11,14,14,14,14,14,14,14,14,14,17,20,20,20,20,23,23,23,26
Corinthians,https://s.sde.globo.com/media/organizations/2019/09/30/Corinthians.svg,3,3,3,4,4,5,5,8,8,9,12,12,12,15,16,17,20,21,24,25,26,27,27,30,30,31,32,33,36,37,40,40,41
Cruzeiro,https://s.sde.globo.com/media/organizations/2021/02/13/cruzeiro_2021.svg,0,3,6,9,9,12,12,13,13,14,14,17,18,21,22,22,23,24,24,25,25,26,29,29,30,31,31,34,37,37,37,37,37
Grêmio,https://s.sde.globo.com/media/organizations/2018/03/12/gremio.svg,3,3,6,7,7,8,11,14,17,17,20,23,26,26,27,30,31,31,34,34,37,40,40,43,44,44,44,44,47,50,53,56,59
Santos,https://s.sde.globo.com/media/organizations/2018/03/12/santos.svg,0,1,4,4,7,10,11,11,12,13,13,13,13,16,16,17,17,18,18,21,21,21,21,24,27,30,30,30,33,34,37,38,41
